class_code,class_name_en,relative_flammability_score,score_lower_bound,score_upper_bound,rationale,status
110,Residential area,20,16,24,Low combustible cover relative to forest; includes ignition/exposure context but is not a fuel-load estimate,provisional
120,Industrial and commercial area,15,12,18,Predominantly impervious cover; score represents limited surface fuel only,provisional
130,Transportation area,5,4,6,Roads and railways are primarily non-combustible and may act as discontinuities,provisional
140,Cultural and recreational facilities,20,16,24,Mixture of built surfaces and managed vegetation,provisional
150,Other built-up land,20,16,24,Mixed impervious and managed surfaces,provisional
210,Rice paddy,30,24,36,Seasonally variable herbaceous residue; not a direct moisture measurement,provisional
220,Field crop land,45,36,54,Herbaceous and agricultural residue fuel potential,provisional
230,Greenhouse and horticultural land,25,20,30,Mostly managed and structurally discontinuous vegetation,provisional
310,Broadleaf forest,70,56,84,Relative surface and litter fuel potential; lower than coniferous forest,provisional
320,Coniferous forest,100,80,100,Relative high flammability rank due to resinous/crown-fire-prone fuel structure; not an absolute fuel-load value,provisional
330,Mixed forest,90,72,100,Intermediate-to-high rank between broadleaf and coniferous forest,provisional
410,Natural grassland,65,52,78,Cured fine fuels can support rapid spread under dry and windy conditions,provisional
420,Managed grassland,50,40,60,Managed herbaceous fuel with possible mowing and moisture effects,provisional
510,Inland wetland,10,8,12,Generally moist and discontinuous fuel; condition varies seasonally,provisional
520,Coastal wetland,5,4,6,Generally moist and saline/non-combustible substrate,provisional
610,Inland water,0,0,0,Non-combustible water surface,provisional
620,Coastal water,0,0,0,Non-combustible water surface,provisional
710,Bare land,20,16,24,Limited vegetation but possible sparse fine fuel,provisional
720,Mine and quarry,10,8,12,Predominantly mineral substrate with limited continuous fuel,provisional
730,Beach,5,4,6,Predominantly mineral substrate with sparse vegetation,provisional
810,Open sea,0,0,0,Non-combustible water surface,provisional
